      0.07       0.37
      0.14       1.12
     -1.42      -0.84
     -0.58       1.49
     -1.10      -0.66
     -0.12      -0.17
      1.11       0.11
      1.20       0.10
     -0.98       0.50
      0.61       1.64

      0.07       0.37
      0.14       1.12
     -1.32      -0.57
     -0.58       1.49
     -1.20      -0.93
     -0.12      -0.17
      1.11       0.11
      1.20       0.10
     -0.98       0.50
      0.61       1.64

      0.07       0.37
      0.14       1.12
     -1.32      -0.57
     -0.58       1.49
     -1.20      -0.93
     -0.12      -0.17
      1.11      -0.11
      1.20       0.10
     -0.98       0.50
      0.61       1.64

      0.07       0.37
      0.14       1.12
     -1.32      -0.57
     -0.58       1.49
     -0.33      -1.12
     -0.99       0.03
      1.11      -0.11
      1.20       0.10
     -0.98       0.50
      0.61       1.64

      0.07       0.37
      0.14       1.12
     -1.32      -0.57
     -0.01       2.16
     -0.33      -1.12
     -0.99       0.03
      1.11      -0.11
      1.20       0.10
     -0.98       0.50
      0.03       0.97

      0.07       0.37
      0.14       1.12
     -1.32      -0.57
      1.67       1.61
     -0.33      -1.12
     -0.99       0.03
     -0.57       0.44
      1.20       0.10
     -0.98       0.50
      0.03       0.97

      0.07       0.37
      0.14       1.12
     -1.32      -0.57
      1.67       1.61
     -0.33       1.12
     -0.99       0.03
     -0.57       0.44
      1.20       0.10
     -0.98       0.50
      0.03       0.97

      0.07       0.37
      0.14       1.12
     -1.32      -0.57
      1.67       1.61
     -0.33       1.12
      0.99       0.03
     -0.57       0.44
      1.20       0.10
     -0.98       0.50
      0.03       0.97

      0.07       0.37
      0.14       1.12
     -1.32      -0.57
      1.67       1.61
     -0.33       1.12
      0.99       0.03
     -0.57      -0.44
      1.20       0.10
     -0.98       0.50
      0.03       0.97

      0.07       0.37
      0.14       1.12
     -1.46       1.03
      1.67       1.61
     -0.20      -0.48
      0.99       0.03
     -0.57      -0.44
      1.20       0.10
     -0.98       0.50
      0.03       0.97

     -0.98       0.39
      0.14       1.12
     -1.46       1.03
      1.67       1.61
     -0.20      -0.48
      0.99       0.03
     -0.57      -0.44
      1.20       0.10
      0.07       0.48
      0.03       0.97

     -0.98       0.39
      0.14       1.12
     -1.46       1.03
     -1.67       1.61
     -0.20      -0.48
      0.99       0.03
     -0.57      -0.44
      1.20       0.10
      0.07       0.48
      0.03       0.97

     -0.98       0.39
      0.14       1.12
     -1.46       1.03
     -1.67       1.61
     -0.20      -0.48
      0.99       0.03
     -1.01       0.48
      1.20       0.10
      0.07       0.48
      0.47       0.04

     -0.98       0.39
      0.14       1.12
     -1.46       1.03
     -1.67      -1.61
     -0.20      -0.48
      0.99       0.03
     -1.01       0.48
      1.20       0.10
      0.07       0.48
      0.47       0.04

     -0.98       0.39
      0.14       1.12
     -0.28       1.85
     -1.67      -1.61
     -0.20      -0.48
     -0.20      -0.79
     -1.01       0.48
      1.20       0.10
      0.07       0.48
      0.47       0.04

     -0.98       0.39
      0.14       1.12
     -0.28       1.85
     -1.67      -1.61
     -0.20      -0.48
     -0.20      -0.79
     -1.01      -0.48
      1.20       0.10
      0.07       0.48
      0.47       0.04

     -0.98       0.39
      0.14       1.12
     -0.28       1.85
     -1.67      -1.61
     -0.20       0.48
     -0.20      -0.79
     -1.01      -0.48
      1.20       0.10
      0.07       0.48
      0.47       0.04

     -0.98       0.39
      0.14       1.12
     -0.28       1.85
      0.05       0.40
     -0.20       0.48
     -0.20      -0.79
     -1.01      -0.48
      1.20       0.10
      0.07       0.48
     -1.26      -1.97

     -0.98       0.39
      0.93       0.39
     -0.28       1.85
      0.05       0.40
     -0.20       0.48
     -0.20      -0.79
     -1.01      -0.48
      1.20       0.10
      0.07       0.48
     -2.04      -1.25

      0.98       0.39
      0.93       0.39
     -0.28       1.85
      0.05       0.40
     -0.20       0.48
     -0.20      -0.79
     -1.01      -0.48
      1.20       0.10
      0.07       0.48
     -2.04      -1.25

      0.98       0.39
      0.93       0.39
     -0.28       1.85
      0.05       0.40
     -0.20       0.48
     -0.20      -0.79
      0.25      -0.06
      1.20       0.10
     -1.19       0.05
     -2.04      -1.25

      0.98       0.39
     -0.93       0.39
     -0.28       1.85
      0.05       0.40
     -0.20       0.48
     -0.20      -0.79
      0.25      -0.06
      1.20       0.10
     -1.19       0.05
     -2.04      -1.25

     -1.19       0.39
     -0.93       0.39
     -0.28       1.85
      0.05       0.40
     -0.20       0.48
     -0.20      -0.79
      0.25      -0.06
      1.20       0.10
      0.98       0.05
     -2.04      -1.25

     -1.19       0.39
     -0.93       0.39
     -0.28       1.85
      0.05       0.40
     -0.20       0.48
     -0.20      -0.79
      0.25      -0.06
      1.20       0.10
      0.98       0.05
     -2.04       1.25

